effect_id,analysis_id,row_kind,study_label,version,effect_measure,effect,ci_lower,ci_upper,se,variance,weight_pct,n_treatment,n_control,events_treatment,events_control,subgroup,timepoint,source_page,source_type,source_table,source_figure,row_label,effect_norm,ci_lower_norm,ci_upper_norm,certainty,supersedes,note
E01,A1.1,STUDY,Blumenthal 1999,AS_PUBLISHED,SMD,0.14,-0.25,0.52,,,4.23,55,48,NOT_APPLICABLE,NOT_APPLICABLE,,post-treatment,105,FOREST_PLOT,,Analysis 1.1,Blumenthal 1999,0.14,-0.25,0.52,KNOWN,,"RevMan forest table, full text layer; Mean(SD): exercise 8.7 (6.9), control 7.8 (6.5)"
E02,A1.1,STUDY,Blumenthal 2007,AS_PUBLISHED,SMD,-0.29,-0.68,0.11,,,4.21,51,49,NOT_APPLICABLE,NOT_APPLICABLE,,post-treatment,105,FOREST_PLOT,,Analysis 1.1,Blumenthal 2007,-0.29,-0.68,0.11,KNOWN,,"RevMan forest table, full text layer; Mean(SD): exercise 9.2 (6.1), control 11.1 (7)"
E03,A1.1,STUDY,Blumenthal 2012a,AS_PUBLISHED,SMD,-0.67,-1.23,-0.12,,,3.59,35,21,NOT_APPLICABLE,NOT_APPLICABLE,,post-treatment,105,FOREST_PLOT,,Analysis 1.1,Blumenthal 2012a,-0.67,-1.23,-0.12,KNOWN,,"RevMan forest table, full text layer; Mean(SD): exercise 6.4 (5.3), control 10 (5.3)"
E04,A1.1,STUDY,Bonnet 2005,AS_PUBLISHED,SMD,1.51,0.09,2.93,,,1.37,5,6,NOT_APPLICABLE,NOT_APPLICABLE,,post-treatment,105,FOREST_PLOT,,Analysis 1.1,Bonnet 2005,1.51,0.09,2.93,KNOWN,,"RevMan forest table, full text layer; Mean(SD): exercise 24.5 (10.9), control 10.5 (5.8); only study row favouring control with CI excluding 0"
E05,A1.1,STUDY,Brenes 2007,AS_PUBLISHED,SMD,-0.6,-1.39,0.2,,,2.77,14,12,NOT_APPLICABLE,NOT_APPLICABLE,,post-treatment,105,FOREST_PLOT,,Analysis 1.1,Brenes 2007,-0.6,-1.39,0.2,KNOWN,,"RevMan forest table, full text layer; Mean(SD): exercise 7.8 (4.3), control 10.9 (5.8); effect cell verbatim '-0.6[-1.39,0.2]'"
E06,A1.1,STUDY,Chu 2008,AS_PUBLISHED,SMD,-1.02,-1.84,-0.21,,,2.69,15,12,NOT_APPLICABLE,NOT_APPLICABLE,,post-treatment,105,FOREST_PLOT,,Analysis 1.1,Chu 2008,-1.02,-1.84,-0.21,KNOWN,,"RevMan forest table, full text layer; Mean(SD): exercise 5.8 (3.4), control 10.6 (5.7)"
E07,A1.1,STUDY,Doyne 1987,AS_PUBLISHED,SMD,-1.19,-2.06,-0.32,,,2.53,14,11,NOT_APPLICABLE,NOT_APPLICABLE,,post-treatment,105,FOREST_PLOT,,Analysis 1.1,Doyne 1987,-1.19,-2.06,-0.32,KNOWN,,"RevMan forest table, full text layer; Mean(SD): exercise 8.2 (5.3), control 15.3 (6.3)"
E08,A1.1,STUDY,Dunn 2005,AS_PUBLISHED,SMD,-0.74,-1.5,0.02,,,2.87,16,13,NOT_APPLICABLE,NOT_APPLICABLE,,post-treatment,105,FOREST_PLOT,,Analysis 1.1,Dunn 2005,-0.74,-1.5,0.02,KNOWN,,"RevMan forest table, full text layer; Mean(SD): exercise 10 (5.5), control 14 (4.9)"
E09,A1.1,STUDY,Epstein 1986,AS_PUBLISHED,SMD,-0.77,-1.78,0.24,,,2.15,7,10,NOT_APPLICABLE,NOT_APPLICABLE,,post-treatment,105,FOREST_PLOT,,Analysis 1.1,Epstein 1986,-0.77,-1.78,0.24,KNOWN,,"RevMan forest table, full text layer; Mean(SD): exercise 9 (10.9), control 16.3 (7.4)"
E10,A1.1,STUDY,Foley 2008,AS_PUBLISHED,SMD,-0.27,-1.4,0.85,,,1.89,8,5,NOT_APPLICABLE,NOT_APPLICABLE,,post-treatment,105,FOREST_PLOT,,Analysis 1.1,Foley 2008,-0.27,-1.4,0.85,KNOWN,,"RevMan forest table, full text layer; Mean(SD): exercise 10.8 (9.3), control 13.6 (10.2)"
