analysis_id,study_label_verbatim,appears_in,source_pages,certainty,note
A1.1,Blumenthal 1999,FOREST_PLOT,105,KNOWN,
A1.1,Blumenthal 2007,FOREST_PLOT,105,KNOWN,
A1.1,Blumenthal 2012a,FOREST_PLOT,105,KNOWN,
A1.1,Bonnet 2005,FOREST_PLOT,105,KNOWN,
A1.1,Brenes 2007,FOREST_PLOT,105,KNOWN,
A1.1,Chu 2008,FOREST_PLOT,105,KNOWN,
A1.1,Doyne 1987,FOREST_PLOT,105,KNOWN,
A1.1,Dunn 2005,FOREST_PLOT,105,KNOWN,
A1.1,Epstein 1986,FOREST_PLOT,105,KNOWN,
A1.1,Foley 2008,FOREST_PLOT,105,KNOWN,
A1.1,Fremont 1987,FOREST_PLOT,105,KNOWN,
A1.1,Gary 2010,FOREST_PLOT,105,KNOWN,
A1.1,Hemat-Far 2012,FOREST_PLOT,105,KNOWN,
A1.1,Hess-Homeier 1981,FOREST_PLOT,105,KNOWN,
A1.1,Hoffman 2010,FOREST_PLOT,105,KNOWN,body text prints 'Hoﬀman 2010' (ff ligature); plain 'ff' in forest label
A1.1,Klein 1985,FOREST_PLOT,105,KNOWN,
A1.1,Knubben 2007,FOREST_PLOT,105,KNOWN,
A1.1,Krogh 2009,FOREST_PLOT,105,KNOWN,
A1.1,Martinsen 1985,FOREST_PLOT,105,KNOWN,
A1.1,Mather 2002,FOREST_PLOT,105,KNOWN,
A1.1,McNeil 1991,FOREST_PLOT,105,KNOWN,
A1.1,Mota-Pereira 2011,FOREST_PLOT,105,KNOWN,
A1.1,Mutrie 1988,FOREST_PLOT,105,KNOWN,
A1.1,Nabkasorn 2005,FOREST_PLOT,105,KNOWN,
A1.1,Orth 1979,FOREST_PLOT,105,KNOWN,
A1.1,Pilu 2007,FOREST_PLOT,105,KNOWN,
A1.1,Reuter 1984,FOREST_PLOT,105,KNOWN,
A1.1,Schuch 2011,FOREST_PLOT,106,KNOWN,forest continues onto PDF p106 from this row
A1.1,Setaro 1985,FOREST_PLOT,106,KNOWN,
A1.1,Shahidi 2011,FOREST_PLOT,106,KNOWN,
A1.1,Sims 2009,FOREST_PLOT,106,KNOWN,
A1.1,Singh 1997,FOREST_PLOT,106,KNOWN,
A1.1,Singh 2005,FOREST_PLOT,106,KNOWN,
A1.1,Veale 1992,FOREST_PLOT,106,KNOWN,
A1.1,Williams 2008,FOREST_PLOT,106,KNOWN,
A1.2,Blumenthal 1999,FOREST_PLOT,106,KNOWN,
A1.2,Fremont 1987,FOREST_PLOT,106,KNOWN,
A1.2,Gary 2010,FOREST_PLOT,106,KNOWN,
A1.2,Klein 1985,FOREST_PLOT,106,KNOWN,
A1.2,Krogh 2009,FOREST_PLOT,106,KNOWN,
A1.2,Mather 2002,FOREST_PLOT,106,KNOWN,
A1.2,Sims 2009,FOREST_PLOT,106,KNOWN,
A1.2,Singh 1997,FOREST_PLOT,106,KNOWN,
A1.3,Blumenthal 1999,FOREST_PLOT,106,KNOWN,
A1.3,Blumenthal 2007,FOREST_PLOT,106,KNOWN,
A1.3,Blumenthal 2012a,FOREST_PLOT,106,KNOWN,
A1.3,Bonnet 2005,FOREST_PLOT,106,KNOWN,
A1.3,Chu 2008,FOREST_PLOT,106,KNOWN,
A1.3,Dunn 2005,FOREST_PLOT,106,KNOWN,
A1.3,Foley 2008,FOREST_PLOT,106,KNOWN,
A1.3,Fremont 1987,FOREST_PLOT,106,KNOWN,
A1.3,Gary 2010,FOREST_PLOT,106,KNOWN,
A1.3,Hemat-Far 2012,FOREST_PLOT,106,KNOWN,
A1.3,Hoffman 2010,FOREST_PLOT,106,KNOWN,
A1.3,Klein 1985,FOREST_PLOT,107,KNOWN,forest continues onto PDF p107 from this row
A1.3,Knubben 2007,FOREST_PLOT,107,KNOWN,
A1.3,Krogh 2009,FOREST_PLOT,107,KNOWN,
A1.3,Martinsen 1985,FOREST_PLOT,107,KNOWN,
A1.3,Mather 2002,FOREST_PLOT,107,KNOWN,
A1.3,McNeil 1991,FOREST_PLOT,107,KNOWN,
A1.3,Mota-Pereira 2011,FOREST_PLOT,107,KNOWN,
A1.3,Mutrie 1988,FOREST_PLOT,107,KNOWN,
A1.3,Nabkasorn 2005,FOREST_PLOT,107,KNOWN,
A1.3,Orth 1979,FOREST_PLOT,107,KNOWN,
A1.3,Pilu 2007,FOREST_PLOT,107,KNOWN,
A1.3,Schuch 2011,FOREST_PLOT,107,KNOWN,
A1.3,Shahidi 2011,FOREST_PLOT,107,KNOWN,
A1.3,Sims 2009,FOREST_PLOT,107,KNOWN,
A1.3,Singh 1997,FOREST_PLOT,107,KNOWN,
A1.3,Singh 2005,FOREST_PLOT,107,KNOWN,
A1.3,Veale 1992,FOREST_PLOT,107,KNOWN,
A1.3,Williams 2008,FOREST_PLOT,107,KNOWN,
