contradiction_id,kind,description,side_a_value,side_a_source,side_b_value,side_b_source,certainty,note
DRI-CON-01,INTERNAL,"Table 1 continuation header on page 11 prints 'PUBLISHED' although every study row on that page (46 Clark through 57 Zlotnick) belongs to the UNPUBLISHED section, which began at row 43 on page 10",PUBLISHED (continuation header),"Table 1, p11",rows 46-57 are unpublished grants,"Table 1, pp10-11",KNOWN,Verified via text coordinates (pass B); a reader consulting only p11 would mislabel 12 unpublished grants as published
DRI-CON-02,INTERNAL,Table 2 percentage-change cell for PT vs. antidepressant medication prints '-456%',-456%,"Table 2, p12",delta-g = -0.07 from a published-only baseline of g = 0.01,"Table 2, p12",KNOWN,Arithmetically explicable at the stated 5-decimal precision (approx. -0.07/0.015) but an extreme-looking value; see DRI-CON-14
DRI-CON-03,INTERNAL,Reynolds grant number printed 'R01MH37869' with a 5-digit serial; every other MH grant in Table 1 has 6 digits (e.g. R01MH063982),R01MH37869,"Table 1 row 31, p10",6-digit serials elsewhere,"Table 1, pp9-11",KNOWN,"As printed, not corrected; cf. footnote b (row 7: grant number reported incorrectly in the published article) and footnote c (row 33: grant number omitted in the published article), both confirmed with authors"
DRI-CON-04,INTERNAL,"Six published Table 1 studies appear in NO forest plot and are not countable in any Table 2 k: Freedland (#11, ref [40]), Glick (#12, refs [41-42]), Jacobson R37MH044063 (#20, ref [50]), Miller R01MH035945 (#26, ref [56]), Simon (#34, ref [64]), Talbot (#37, ref [67])",listed as PUBLISHED in Table 1,"Table 1, pp9-10",absent from Figs 2-7 and every Table 2 pool,Figs 2-7 pp13-15; Table 2 p12,UNRESOLVED,"All six have augmentation-style comparisons (PT+CTRL vs CTRL etc.); Reynolds' second comparison (PT+CTRL-PLAC vs CTRL-PLAC, #31) likewise appears in no figure; reconciliation additionally flags Manber (#25, ref [55], PT+ADM vs CTRL-NS+ADM) as absent from all figures — arguably a seventh; whether these entered only S1 Table analyses is UNRESOLVED (S1 Table is a DOCX supplement, not in this PDF)"
DRI-CON-05,INTERNAL,"Table 1 row 46 (Clark, R01MH062054d) has no entry in 'Study comparison(s)', 'PT type(s)' or any quality-rating column; every other unpublished row lists comparisons — even Gottlieb, whose data were lost",row prints only PI and grant number,"Table 1 row 46, p11",all other unpublished rows populated,"Table 1, pp10-11",KNOWN,Verified by coordinate reconstruction (pass B); footnote d: 'Investigator refuses to share data for this review.'; whether the omission is intentional (refused data) or an error is UNRESOLVED
DRI-CON-06,INTERNAL,"Unpublished quality-rating denominator inconsistency: text says quality ratings could not be retrieved for three unpublished studies (implying 13-3 = 10 rated), but the printed percentages imply a denominator of 9 (22.2% = 2/9; 55.6% = 5/9; 77.8% = 7/9) and '10 of the 53' implies 44 published + 9 unpublished rated",13 - 3 = 10 rated,text p16,percentages imply 9 rated (and 53 total),text p16,AMBIGUOUS,"Consistent only if one unpublished study (presumably Gottlieb, excluded from the main analyses) is dropped before subtracting the three without ratings (12 - 3 = 9); not resolvable from the PDF"
DRI-CON-07,INTERNAL,t-test degrees of freedom: p16 reports t(54) = 0.79 comparing mean participants per condition between 13 unpublished and 42 published studies; a two-sample t-test on 55 studies would have df = 53,t(54),text p16,expected df = 53 (13 + 42 - 2),"derived from study counts, pp7 and 16",KNOWN,df = 54 would require 56 groups; basis of the printed df is UNRESOLVED; related: 'Only about 75% as many patients' vs 31.9/41.9 = 76.1%
DRI-CON-08,INTERNAL,Data Availability Statement grammatical error: 'as we obtained it this data from third parties',we obtained it this data,"Data Availability Statement, pp1-2",(standard grammar),,KNOWN,Verbatim as printed; recorded identically by both passes
DRI-CON-09,INTERNAL,"Decimal-comma typo '84,6%' in body text; the rest of the body text and Table 2 use decimal points, while Figs 2-7 print decimal commas throughout (CMA European-locale output)","84,6%",text p7,decimal points elsewhere in text,body text / Table 2,KNOWN,
DRI-CON-10,INTERNAL,"Figure order reversed on page 15: Fig 7 (PT+ADM vs ADM) is printed ABOVE Fig 6 (PT vs ADM); the caption block for Fig 7 also precedes Fig 6's in the text flow, and the embedded image storage order is likewise reversed",Fig 7 above Fig 6 on the page,p15 layout and embedded-image order,numeric figure order (6 then 7),figure numbering / captions,KNOWN,"Content is consistent with the captions; both passes assigned figures by content, not position — auditors should do the same"
