effect_id,analysis_id,row_kind,study_label,version,effect_measure,effect,ci_lower,ci_upper,se,variance,weight_pct,n_treatment,n_control,events_treatment,events_control,subgroup,timepoint,source_page,source_type,source_table,source_figure,row_label,effect_norm,ci_lower_norm,ci_upper_norm,certainty,supersedes,note
F2-01,A1-PUB,STUDY,"Arean, 2010",AS_PUBLISHED,Hedges' g,0.39,0.10,0.67,0.15,0.02,8.33,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Published,post-treatment,13,FOREST_PLOT,,Fig 2,"Arean, 2010",0.39,0.10,0.67,KNOWN,,"Z 2.62, p 0.01; as printed: PT1 vs CTRL-NS; HAMD"
F2-02,A1-PUB,STUDY,"Barber, 2012",AS_PUBLISHED,Hedges' g,0.08,-0.43,0.58,0.26,0.07,5.16,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Published,post-treatment,13,FOREST_PLOT,,Fig 2,"Barber, 2012",0.08,-0.43,0.58,KNOWN,,"Z 0.29, p 0.77; as printed: PT1 vs CTRL-NS(PLAC); Combined"
F2-03,A1-PUB,STUDY,"Beutler, 1991",AS_PUBLISHED,Hedges' g,0.09,-0.52,0.69,0.31,0.09,4.19,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Published,post-treatment,13,FOREST_PLOT,,Fig 2,"Beutler, 1991",0.09,-0.52,0.69,KNOWN,,"Z 0.28, p 0.78; as printed: Combined; Combined"
F2-04,A1-PUB,STUDY,"DeRubeis, 2005",AS_PUBLISHED,Hedges' g,0.45,0.03,0.88,0.22,0.05,6.20,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Published,post-treatment,13,FOREST_PLOT,,Fig 2,"DeRubeis, 2005",0.45,0.03,0.88,KNOWN,,"Z 2.10, p 0.04; as printed: PT1 vs CTRL-NS(PLAC); Response (HAMD<12) at post"
F2-05,A1-PUB,STUDY,"Dimidjian, 2006",AS_PUBLISHED,Hedges' g,0.25,-0.19,0.69,0.22,0.05,6.04,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Published,post-treatment,13,FOREST_PLOT,,Fig 2,"Dimidjian, 2006",0.25,-0.19,0.69,KNOWN,,"Z 1.13, p 0.26; as printed: subgroup-within-study ""Combined""; Combined; Combined"
F2-06,A1-PUB,STUDY,"Elkin, 1989",AS_PUBLISHED,Hedges' g,0.30,-0.06,0.65,0.18,0.03,7.24,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Published,post-treatment,13,FOREST_PLOT,,Fig 2,"Elkin, 1989",0.30,-0.06,0.65,KNOWN,,"Z 1.63, p 0.10; as printed: Combined; Combined"
F2-07,A1-PUB,STUDY,"Hayden, 2012",AS_PUBLISHED,Hedges' g,0.41,-0.26,1.09,0.34,0.12,3.62,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Published,post-treatment,13,FOREST_PLOT,,Fig 2,"Hayden, 2012",0.41,-0.26,1.09,KNOWN,,"Z 1.20, p 0.23; as printed: PT1 vs CTRL-NS; BDI"
F2-08,A1-PUB,STUDY,"Jarrett, 1999",AS_PUBLISHED,Hedges' g,0.58,0.11,1.05,0.24,0.06,5.66,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Published,post-treatment,13,FOREST_PLOT,,Fig 2,"Jarrett, 1999",0.58,0.11,1.05,KNOWN,,"Z 2.44, p 0.01; as printed: PT1 vs CTRL-NS(PLAC); Combined"
F2-09,A1-PUB,STUDY,"Miranda, 2003",AS_PUBLISHED,Hedges' g,0.16,-0.13,0.45,0.15,0.02,8.26,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Published,post-treatment,13,FOREST_PLOT,,Fig 2,"Miranda, 2003",0.16,-0.13,0.45,KNOWN,,"Z 1.06, p 0.29; as printed: PT1 vs CTRL-TAU; HAMD"
F2-10,A1-PUB,STUDY,"Murphy, 1995",AS_PUBLISHED,Hedges' g,0.13,-0.65,0.91,0.40,0.16,2.93,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Published,post-treatment,13,FOREST_PLOT,,Fig 2,"Murphy, 1995",0.13,-0.65,0.91,KNOWN,,"Z 0.33, p 0.74; as printed: PT1 vs CTRL-NS; Combined"
F2-11,A1-PUB,STUDY,"O'Hara, 2000",AS_PUBLISHED,Hedges' g,1.14,0.72,1.56,0.22,0.05,6.24,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Published,post-treatment,13,FOREST_PLOT,,Fig 2,"O'Hara, 2000",1.14,0.72,1.56,KNOWN,,"Z 5.30, p 0.00; as printed: PT1 vs CTRL-NT; Combined"
F2-12,A1-PUB,STUDY,"Rohan, 2007",AS_PUBLISHED,Hedges' g,1.01,0.26,1.75,0.38,0.14,3.16,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Published,post-treatment,13,FOREST_PLOT,,Fig 2,"Rohan, 2007",1.01,0.26,1.75,KNOWN,,"Z 2.66, p 0.01; as printed: PT1 vs CTRL-NT; Combined"
