analysis_id,study_label_verbatim,appears_in,source_pages,certainty,note
,"Arean, 2010",FOREST_PLOT,13;14,KNOWN,"Figs 2, 4; = Table 1 #1 Arean (R01MH063982), ref [29]"
,"Barber, 2012",FOREST_PLOT,13;14;15,KNOWN,"Figs 2, 4, 6; = Table 1 #2 Barber (R01MH061410), ref [30]"
,"Beutler, 1991",FOREST_PLOT,13;14,KNOWN,"Figs 2, 4, 5; = Table 1 #4 Beutler (R01MH039859), ref [32]"
,"Covi, 1987",FOREST_PLOT,14,KNOWN,"Fig 5; = Table 1 #5 Covi (R01MH033585), ref [33]"
,"Denton, 2012",FOREST_PLOT,15,KNOWN,"Fig 7; = Table 1 #6 Denton (K23MH063994), ref [34]"
,"DeRubeis, 2005",FOREST_PLOT,13;14;15,KNOWN,"Figs 2, 4, 6; = Table 1 #7 DeRubeis (R10MH055877), ref [35]"
,"Dimidjian, 2006",FOREST_PLOT,13;14;15,KNOWN,"Figs 2, 4, 5, 6 ('Subgroup within study' = Combined); = Table 1 #19 Jacobson (R01MH055502), ref [49]"
,"Elkin, 1989",FOREST_PLOT,13;14;15,KNOWN,"Figs 2, 4, 5, 6; = Table 1 #17 Imber (U01MH033753), ref [47]"
,"Foley, 1989",FOREST_PLOT,14,KNOWN,"Fig 5; = Table 1 #41 Weissman (R01MH034501), ref [72]"
,"Frank, 2011",FOREST_PLOT,15,KNOWN,"Fig 6; = Table 1 #9 Frank (R01MH065376), ref [38]"
,"Gallagher, 1982",FOREST_PLOT,14,KNOWN,"Fig 5; = Table 1 #39 Thompson (R01MH032157), ref [69]"
,"Goldman, 2006",FOREST_PLOT,14,KNOWN,"Fig 5; = Table 1 #13 Greenberg (R01MH045040), ref [43]"
,"Hayden, 2012",FOREST_PLOT,13;14,KNOWN,"Figs 2, 4; = Table 1 #23 Lustman (R01DK036452), ref [53]"
,"Hersen, 1984",FOREST_PLOT,15,KNOWN,"Fig 7; = Table 1 #14 Hersen (R01MH028279), ref [44]"
,"Hollon, 1992",FOREST_PLOT,15,KNOWN,"Figs 6, 7; = Table 1 #15 Hollon (R01MH033209), ref [45]"
,"Hollon, 2014",FOREST_PLOT,15,KNOWN,"Fig 7; = Table 1 #16 Hollon (R01MH060713), ref [46]"
,"Jacobson, 1991",FOREST_PLOT,14,KNOWN,"Fig 5 (Subgroup within study = Combined); = Table 1 #18 Jacobson (R01MH033838), ref [48]"
,"Jarrett, 1999",FOREST_PLOT,13;14;15,KNOWN,"Figs 2, 4, 6; = Table 1 #21 Jarrett (R01MH045043), ref [51]"
,"Lynch, 2003",FOREST_PLOT,15,KNOWN,"Fig 7; = Table 1 #24 Lynch (R03MH057799), ref [54]"
,"Miranda, 2003",FOREST_PLOT,13;14;15,KNOWN,"Figs 2, 4, 6; = Table 1 #27 Miranda (R01MH056864), ref [57]"
,"Mohr, 2001",FOREST_PLOT,14;15,KNOWN,"Figs 5, 6; = Table 1 #28 Mohr (R01MH059708), ref [58]"
,"Murphy, 1984",FOREST_PLOT,15,KNOWN,"Figs 6, 7; = Table 1 #29 Murphy (R01MH032756), ref [59]"
,"Murphy, 1995",FOREST_PLOT,13;14;15,KNOWN,"Figs 2, 4, 6; = Table 1 #29 second trial of the same grant, ref [60] (DRI-CON-18)"
,"O'Hara, 2000",FOREST_PLOT,13,KNOWN,"Figs 2, 3; = Table 1 #30 O'Hara (R01MH050524), ref [61]"
,"Reynolds, 1999",FOREST_PLOT,15,KNOWN,"Fig 7; = Table 1 #31 Reynolds (R01MH37869), ref [28] (grant serial printed with 5 digits, DRI-CON-03)"
,"Rohan, 2007",FOREST_PLOT,13,KNOWN,"Figs 2, 3; = Table 1 #32 Rohan (R03MH065946), ref [62]"
,"Rush, 1977",FOREST_PLOT,15,KNOWN,"Fig 6; = Table 1 #3 Beck (R01MH019989), ref [31]"
,"Schulberg, 1996",FOREST_PLOT,13;14;15,KNOWN,"Figs 2, 4, 6; = Table 1 #33 Schulberg (R01MH045815), ref [63]"
,"Spinelli, 2003",FOREST_PLOT,13;14,KNOWN,"Figs 2, 4; = Table 1 #35 Spinelli (K20MH001276), ref [65]"
,"Strachowski, 2008",FOREST_PLOT,13,KNOWN,"Figs 2, 3; = Table 1 #38 Taylor (M01RR000070), ref [68]"
,"Swartz, 2008",FOREST_PLOT,13;14,KNOWN,"Figs 2, 4; = Table 1 #36 Swartz (K23MH064518), ref [66]"
,"Thompson, 1987",FOREST_PLOT,13;14,KNOWN,"Figs 2, 3, 5; = Table 1 #40 Thompson (R01MH037196), ref [70]"
,"Thompson, 2001",FOREST_PLOT,15,KNOWN,"Figs 6, 7; = Table 1 #40 second trial of the same grant, ref [71] (DRI-CON-18)"
,"Waters, in press",FOREST_PLOT,13;14,KNOWN,"Figs 2, 4; = Table 1 #22 Keefe (R01NS046422), ref [52]; reference dated 2015 — label frozen at 'in press' (DRI-CON-21)"
,"Weissman, 1979",FOREST_PLOT,13;14;15,KNOWN,"Figs 2, 4, 6, 7; = Table 1 #8 DiMascio (R01MH026467), refs [36-37]; outcome printed 'no failure' (DRI-CON-20)"
,"Wright, 2005",FOREST_PLOT,13;14,KNOWN,"Figs 2, 3, 5; = Table 1 #42 Wright (R21MH057470), ref [73]"
,"Wright, 2014",FOREST_PLOT,14,KNOWN,"Fig 5; pass A links to Table 1 #10 Frank (R21MH061948), ref [39] (trial published only in aggregate; per-trial data obtained from PI); linkage AMBIGUOUS (DRI-CON-19)"
,"Blum, unpublished",FOREST_PLOT,13,KNOWN,"Figs 2, 3; = Table 1 #44 Blum (R01MH025258); unpublished, author-supplied data; SOURCE_DATA_NOT_PUBLICLY_VERIFIABLE — values exist only in this paper (author-supplied data)"
,"Delgado, unpublished",FOREST_PLOT,15,KNOWN,"Fig 6; = Table 1 #47 Delgado (R01MH048977); unpublished, author-supplied data; SOURCE_DATA_NOT_PUBLICLY_VERIFIABLE — values exist only in this paper (author-supplied data)"
