analysis_id,outcome,timepoint,population,comparison,subgroup_of,effect_measure,model,n_studies_reported,pooled_effect,pooled_ci_lower,pooled_ci_upper,i2,tau2,q,p_value,source_page,source_figure,source_table,certainty,note
A1,Total energy intake (kcal),NOT_APPLICABLE,children and adolescents,acute exercise vs control; plotted MD = Control - Exercise (positive = 'HIgher EI in CON'),,MD,RANDOM,41,23.31,-27.54,74.15,57%,13953.65,92.56,0.37,22,Fig 2,,KNOWN,"overall pool, all 41 arms; model 'IV, Random, 95% CI' (RevMan 5.4); het Chi2 df=40, P<0.00001; Z=0.90; also stated verbatim in Abstract p1 and Results p17; direction verified against Table 1 means (Thivel 2013: 1787-1307=480)"
A2,Total energy intake (kcal),NOT_APPLICABLE,children and adolescents,acute exercise vs control; plotted MD = Control - Exercise (positive = 'HIgher EI in CON'),A1,MD,RANDOM,27,23.01,-50.17,96.20,69%,23157.13,84.41,0.54,22,Fig 3,,KNOWN,"subgroup: low or moderate risk of bias only; het df=26, P<0.00001; Z=0.62; excludes 14 high-RoB arms (6 Ajibewa, Fearnbach 2016 OB, Morris, 6 Nemet)"
A3a,Total energy intake (kcal),NOT_APPLICABLE,children and adolescents,acute exercise vs control; plotted MD = Control - Exercise (positive = 'HIgher EI in CON'),A3tot,MD,RANDOM,27,18.30,-30.02,66.62,30%,4625.33,37.17,0.46,23,Fig 4,,KNOWN,"subgroup: '1.2.1 Low or Moderate Intensity Exercise'; het df=26, P=0.07; Z=0.74; shared-control splits and SEs recomputed within subgroup (see published_effects Fig 4 variant rows)"
A3b,Total energy intake (kcal),NOT_APPLICABLE,children and adolescents,acute exercise vs control; plotted MD = Control - Exercise (positive = 'HIgher EI in CON'),A3tot,MD,RANDOM,14,22.71,-78.48,123.90,82%,28704.97,72.65,0.66,23,Fig 4,,KNOWN,"subgroup: '1.2.2 High Intensity Exercise'; het df=13, P<0.00001; Z=0.44; contains the Thivel 2015 SE/CI-swapped rows (HAH-CON-01), hence differs from Fig 6 total of the same 14 arms (HAH-CON-02)"
A3tot,Total energy intake (kcal),NOT_APPLICABLE,children and adolescents,acute exercise vs control; plotted MD = Control - Exercise (positive = 'HIgher EI in CON'),A1,MD,RANDOM,41,,,,,,,,23,Fig 4,,UNRESOLVED,"Fig 4 overall total: diamond drawn below the subtotals but NO 'Total (95% CI)' row values printed - values unrecoverable from the figure; test for subgroup differences: Chi2=0.01, df=1 (P=0.94), I2=0%"
A4a,Total energy intake (kcal),NOT_APPLICABLE,children and adolescents,acute exercise vs control; plotted MD = Control - Exercise (positive = 'HIgher EI in CON'),A4tot,MD,RANDOM,16,-3.58,-50.03,42.88,0%,0.00,11.10,0.88,24,Fig 5,,KNOWN,"subgroup: '1.2.1 Normalweight'; het df=15, P=0.75; Z=0.15"
A4b,Total energy intake (kcal),NOT_APPLICABLE,children and adolescents,acute exercise vs control; plotted MD = Control - Exercise (positive = 'HIgher EI in CON'),A4tot,MD,RANDOM,25,27.55,-53.93,109.03,69%,26862.64,78.09,0.51,24,Fig 5,,KNOWN,"subgroup: '1.2.2 Overweight or Obese'; het df=24, P<0.00001; Z=0.66"
A4tot,Total energy intake (kcal),NOT_APPLICABLE,children and adolescents,acute exercise vs control; plotted MD = Control - Exercise (positive = 'HIgher EI in CON'),A1,MD,RANDOM,41,23.31,-27.54,74.15,57%,13953.65,92.56,0.37,24,Fig 5,,KNOWN,"Fig 5 Total (95% CI); identical to A1; Z=0.90; test for subgroup differences: Chi2=0.42, df=1 (P=0.52), I2=0%"
A5a,Total energy intake (kcal),NOT_APPLICABLE,children and adolescents,acute exercise vs control; plotted MD = Control - Exercise (positive = 'HIgher EI in CON'),A5tot,MD,RANDOM,5,-27.82,-83.19,27.54,0%,0.00,2.64,0.32,25,Fig 6,,KNOWN,"subgroup: '1.2.1 High Intensity Exercise - Normalweight'; het df=4, P=0.62; Z=0.98"
A5b,Total energy intake (kcal),NOT_APPLICABLE,children and adolescents,acute exercise vs control; plotted MD = Control - Exercise (positive = 'HIgher EI in CON'),A5tot,MD,RANDOM,9,53.21,-114.73,221.16,86%,54271.12,55.90,0.53,25,Fig 6,,KNOWN,"subgroup: '1.2.2 High Intensity Exercise - Overweight or Obese'; het df=8, P<0.00001; Z=0.62"
A5tot,Total energy intake (kcal),NOT_APPLICABLE,children and adolescents,acute exercise vs control; plotted MD = Control - Exercise (positive = 'HIgher EI in CON'),A3b,MD,RANDOM,14,27.25,-69.66,124.15,80%,25410.35,64.90,0.58,25,Fig 6,,KNOWN,"Fig 6 Total (95% CI), high-intensity arms only; het df=13, P<0.00001; Z=0.55; subgroup diff: Chi2=0.81, df=1 (P=0.37), I2=0%; pools the SAME 14 arms as A3b yet differs (22.71 vs 27.25) because Fig 4 carries swapped Thivel 2015 values (HAH-CON-01/02)"
A6a,Total energy intake (kcal),NOT_APPLICABLE,children and adolescents,acute exercise vs control; plotted MD = Control - Exercise (positive = 'HIgher EI in CON'),A6tot,MD,RANDOM,22,-1.18,-46.17,43.81,0%,0.00,17.62,0.96,26,Fig 7,,KNOWN,"subgroup: '1.2.1 Age under 13 years'; het df=21, P=0.67; Z=0.05"
A6b,Total energy intake (kcal),NOT_APPLICABLE,children and adolescents,acute exercise vs control; plotted MD = Control - Exercise (positive = 'HIgher EI in CON'),A6tot,MD,RANDOM,19,32.24,-59.93,124.40,75%,28545.01,71.69,0.49,26,Fig 7,,KNOWN,"subgroup: '1.2.2 Age at or over 13 years'; het df=18, P<0.00001; Z=0.69"
A6tot,Total energy intake (kcal),NOT_APPLICABLE,children and adolescents,acute exercise vs control; plotted MD = Control - Exercise (positive = 'HIgher EI in CON'),A1,MD,RANDOM,41,23.31,-27.54,74.15,57%,13953.65,92.56,0.37,26,Fig 7,,KNOWN,"Fig 7 Total (95% CI); identical to A1; Z=0.90; test for subgroup differences: Chi2=0.41, df=1 (P=0.52), I2=0%"
