contradiction_id,kind,description,side_a_value,side_a_source,side_b_value,side_b_source,certainty,note
HAH-CON-01,INTERNAL,"Thivel 2015 SE/CI swap in Fig 4: rugby arm printed with SE 142.95 / CI [-520.18, 40.18] and 75% arm with SE 99.03 / CI [-589.10, -200.90], while every other figure prints rugby SE 121.68 / CI [-478.49, -1.51] and 75% SE 142.95 / CI [-675.18, -114.82]; both arms sit in the same Fig 4 subgroup (control n unchanged at 7) so no re-split explains it; Fig 4's rugby SE equals the 75% arm's SE elsewhere - likely value misassignment","rugby: 142.95 / [-520.18, 40.18]; 75%: 99.03 / [-589.10, -200.90]","Fig 4, PDF p.23","rugby: 121.68 / [-478.49, -1.51]; 75%: 142.95 / [-675.18, -114.82]","Figs 2/3 p.22, Fig 5 p.24, Fig 6 p.25, Fig 7 p.26",KNOWN,headline internal contradiction; in Fig 4 the rugby CI no longer excludes 0 while the 75% CI excludes it more strongly; both passes read identical values at zoom
HAH-CON-02,INTERNAL,Fig 4 high-intensity subtotal differs from Fig 6 Total although both pool the identical 14 arms (downstream consequence of HAH-CON-01),"22.71 [-78.48, 123.90], I2=82%","Fig 4 subtotal, p.23","27.25 [-69.66, 124.15], I2=80%","Fig 6 Total, p.25",KNOWN,Tau2 also differs: 28704.97 vs 25410.35
HAH-CON-03,INTERNAL,"Fig 4 draws an overall diamond but prints no 'Total (95% CI)' row; all other subgroup figures (5, 6, 7) print a labeled Total row","unlabeled diamond, no numbers printed","Fig 4, p.23",labeled Total rows with values,"Figs 5/6/7, pp.24-26",KNOWN,"pooled total values UNRESOLVED (analyses.csv A3tot, published_effects F4-TOT); only the subgroup-difference test is printed (Chi2=0.01, df=1, P=0.94, I2=0%)"
HAH-CON-04,INTERNAL,Rounding variant for Varley Campbell 2017 NW + Snack between figures,"SE 98.8, CI [-276.64, 110.64]","Fig 5, p.24","SE 98.81, CI [-276.66, 110.66]","Figs 2/3/4/7, pp.22-26",KNOWN,zoom-verified independently by both passes
HAH-CON-05,INTERNAL,Rounding variant for Thivel 2013 OB 30min 75% between figures,"SE 115.24, CI [254.13, 705.87]","Fig 6, p.25","SE 115.25, CI [254.11, 705.89]","Figs 2/3/4/5/7, pp.22-26",KNOWN,zoom-verified independently by both passes
HAH-CON-06,INTERNAL,Text reports 43 exercise conditions but only 41 arms enter the meta-analysis,'a total number of 43 exercise conditions',"Results, p.17",41 arms in every forest plot; '41 study arms were eligible',Figs 2-7 pp.22-26; Methods p.3,KNOWN,the two absent conditions: Thivel 2014 OB arm (Table 1 p.14 footnote '* study arm from Thivel et al. 2013' - duplicate data) and Thivel 2020 second (snack energy-replacement) arm; neither appears in any forest plot
HAH-CON-07,INTERNAL,Ajibewa 2017 NW sample size: Table 1 reports n=26 but every forest plot prints intervention n=25 per NW arm (control splits 8+8+8=24 in Fig 2; 12+12+25 in Fig 4),n=26,"Table 1, p.5",n=25,"Figs 2-7, pp.22-26",AMBIGUOUS,unclear whether a dropout or split rounding; 1-participant discrepancy
HAH-CON-08,INTERNAL,Control totals differ across figures: 478 (Figs 2/5/7) vs 578 (Fig 4 subtotal sum 359+219) vs 219 (Fig 6),478,Fig 2 p.22 / Fig 5 p.24 / Fig 7 p.26,578 (359+219),"Fig 4, p.23",KNOWN,NOT AN ERROR - guard row: shared-control splits are legitimately recomputed per subgroup membership per the stated Cochrane/Ruecker method; intervention totals stay 780 everywhere (Fig 4: 547+233; Fig 6 is the 14-arm subset at 233/219); an audit system flagging this as an inconsistency would be wrong
HAH-CON-09,INTERNAL,Country-percentage arithmetic errors: Europe printed 'n = 17; 67%' but 17/22 = 77%; 'Canada and USA (both n = 2; 13%)' but 2/22 = 9% (4/22 = 18%); Israel (Nemet 2010) omitted from the tally,67%; 13%,"study-characteristics text, p.4",17/22 = 77%; 2/22 = 9%,arithmetic from same page,KNOWN,"pass A finding, adopted at reconciliation"
HAH-CON-10,INTERNAL,"Table 1 Thivel et al. 2012: Fat (%) CON printed '20.72 +/- 4.69', identical to Protein (%) CON, and the CON macronutrient percentages sum to ~76%",Fat (%) CON 20.72 +/- 4.69,"Table 1, p.13",Protein (%) CON 20.72 +/- 4.69 (identical value),"Table 1, p.13",KNOWN,"likely copy error and likely target of the publisher correction ('corrected publication 2024', p.1 copyright line); the correction document itself is not in this PDF; pass B finding, adopted"
