effect_id,analysis_id,row_kind,study_label,version,effect_measure,effect,ci_lower,ci_upper,se,variance,weight_pct,n_treatment,n_control,events_treatment,events_control,subgroup,timepoint,source_page,source_type,source_table,source_figure,row_label,effect_norm,ci_lower_norm,ci_upper_norm,certainty,supersedes,note
F2-01,A1,STUDY,Ajibewa 2017 NW 25% stretching,AS_PUBLISHED,MD,17.00,-180.35,214.35,100.69,,2.8,25,8,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Ajibewa 2017 NW 25% stretching,17.00,-180.35,214.35,KNOWN,,"shared control: Table 1 NW n=26 -> 8/8/8 (exercise printed 25, not 26 - HAH-CON-07)"
F2-02,A1,STUDY,Ajibewa 2017 NW 50% push-ups,AS_PUBLISHED,MD,73.00,-143.58,289.58,110.5,,2.6,25,8,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Ajibewa 2017 NW 50% push-ups,73.00,-143.58,289.58,KNOWN,,
F2-03,A1,STUDY,Ajibewa 2017 NW 75% jumping jacks,AS_PUBLISHED,MD,-17.00,-259.72,225.72,123.84,,2.3,25,8,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Ajibewa 2017 NW 75% jumping jacks,-17.00,-259.72,225.72,KNOWN,,
F2-04,A1,STUDY,Ajibewa 2017 OB 25%,AS_PUBLISHED,MD,-59.00,-344.68,226.68,145.76,,1.9,13,4,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Ajibewa 2017 OB 25%,-59.00,-344.68,226.68,KNOWN,,shared control 13 -> 4/4/4
F2-05,A1,STUDY,Ajibewa 2017 OB 50%,AS_PUBLISHED,MD,79.00,-233.71,391.71,159.55,,1.7,13,4,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Ajibewa 2017 OB 50%,79.00,-233.71,391.71,KNOWN,,
F2-06,A1,STUDY,Ajibewa 2017 OB 75%,AS_PUBLISHED,MD,-116.00,-456.54,224.54,173.75,,1.5,13,4,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Ajibewa 2017 OB 75%,-116.00,-456.54,224.54,KNOWN,,
F2-07,A1,STUDY,Bozinosvki 2009 NW 15min Treadmill,AS_PUBLISHED,MD,18.00,-269.76,305.76,146.82,,1.9,29,14,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Bozinosvki 2009 NW 15min Treadmill,18.00,-269.76,305.76,KNOWN,,shared control 29 -> 14/14
F2-08,A1,STUDY,Bozinosvki 2009 NW 45min Treadmill,AS_PUBLISHED,MD,-23.00,-296.10,250.10,139.34,,2.0,29,14,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Bozinosvki 2009 NW 45min Treadmill,-23.00,-296.10,250.10,KNOWN,,
F2-09,A1,STUDY,Fearnbach 2016 OB 45min cycling,AS_PUBLISHED,MD,79.00,-48.50,206.50,65.05,,3.7,15,15,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Fearnbach 2016 OB 45min cycling,79.00,-48.50,206.50,KNOWN,,
F2-10,A1,STUDY,Fearnbach Masterson 2016 NW 30min cycling,AS_PUBLISHED,MD,-83.00,-172.41,6.41,45.62,,4.2,20,20,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Fearnbach Masterson 2016 NW 30min cycling,-83.00,-172.41,6.41,KNOWN,,
F2-11,A1,STUDY,Fearnbach Silvert 2017 NW 45min cycling,AS_PUBLISHED,MD,110.00,-57.71,277.71,85.57,,3.2,14,14,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Fearnbach Silvert 2017 NW 45min cycling,110.00,-57.71,277.71,KNOWN,,
F2-12,A1,STUDY,Fearnbach Silvert 2017 OB 45min cycling,AS_PUBLISHED,MD,126.00,2.74,249.26,62.89,,3.8,14,14,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Fearnbach Silvert 2017 OB 45min cycling,126.00,2.74,249.26,KNOWN,,
F2-13,A1,STUDY,"Fillon 2020 OB 30min cycling, meal 30min post ex",AS_PUBLISHED,MD,-102.00,-377.92,173.92,140.78,,2.0,18,9,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,"Fillon 2020 OB 30min cycling, meal 30min post ex",-102.00,-377.92,173.92,KNOWN,,shared control 18 -> 9/9
F2-14,A1,STUDY,"Fillon 2020 OB 30min cycling, meal 90min post ex",AS_PUBLISHED,MD,250.00,23.98,476.02,115.32,,2.5,18,9,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,"Fillon 2020 OB 30min cycling, meal 90min post ex",250.00,23.98,476.02,KNOWN,,
F2-15,A1,STUDY,Fillon Beaulieu 2020 OB 30min cycling,AS_PUBLISHED,MD,58.00,-183.31,299.31,123.12,,2.3,17,17,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Fillon Beaulieu 2020 OB 30min cycling,58.00,-183.31,299.31,KNOWN,,
F2-16,A1,STUDY,"Fillon Mathieu 2020 OB 30min cycling, meal 1h p.ex",AS_PUBLISHED,MD,184.00,-145.80,513.80,168.27,,1.6,15,7,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,"Fillon Mathieu 2020 OB 30min cycling, meal 1h p.ex",184.00,-145.80,513.80,KNOWN,,shared control 15 -> 7/7
F2-17,A1,STUDY,"Fillon Mathieu 2020 OB 30min cycling, meal 3h p.ex",AS_PUBLISHED,MD,56.00,-257.48,369.48,159.94,,1.7,15,7,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,"Fillon Mathieu 2020 OB 30min cycling, meal 3h p.ex",56.00,-257.48,369.48,KNOWN,,
F2-18,A1,STUDY,Masurier 2018 OB 20min,AS_PUBLISHED,MD,-116.00,-364.62,132.62,126.85,,2.2,20,10,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Masurier 2018 OB 20min,-116.00,-364.62,132.62,KNOWN,,shared control 20 -> 10/10
F2-19,A1,STUDY,Masurier 2018 OB 40min,AS_PUBLISHED,MD,-68.00,-285.40,149.40,110.92,,2.6,20,10,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Masurier 2018 OB 40min,-68.00,-285.40,149.40,KNOWN,,
F2-20,A1,STUDY,Miguet 2018 OB 15min HIIT,AS_PUBLISHED,MD,115.00,-43.86,273.86,81.05,,3.3,33,33,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Miguet 2018 OB 15min HIIT,115.00,-43.86,273.86,KNOWN,,
F2-21,A1,STUDY,Morris 2018 NW 22min HIIT,AS_PUBLISHED,MD,8.00,-144.09,160.09,77.6,,3.4,10,10,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Morris 2018 NW 22min HIIT,8.00,-144.09,160.09,KNOWN,,
F2-22,A1,STUDY,Nemet 2010 NW 45min aerobic,AS_PUBLISHED,MD,26.00,-169.66,221.66,99.83,,2.8,22,7,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Nemet 2010 NW 45min aerobic,26.00,-169.66,221.66,KNOWN,,shared control 22 -> 7/7/7
F2-23,A1,STUDY,Nemet 2010 NW 45min resistance training,AS_PUBLISHED,MD,169.00,-29.37,367.37,101.21,,2.8,22,7,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Nemet 2010 NW 45min resistance training,169.00,-29.37,367.37,KNOWN,,
F2-24,A1,STUDY,Nemet 2010 NW 45min swimming,AS_PUBLISHED,MD,120.00,-79.64,319.64,101.86,,2.8,22,7,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Nemet 2010 NW 45min swimming,120.00,-79.64,319.64,KNOWN,,
F2-25,A1,STUDY,Nemet 2010 OW 45min aerobic,AS_PUBLISHED,MD,-129.00,-375.45,117.45,125.74,,2.3,22,7,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Nemet 2010 OW 45min aerobic,-129.00,-375.45,117.45,KNOWN,,
F2-26,A1,STUDY,Nemet 2010 OW 45min resistance training,AS_PUBLISHED,MD,27.00,-227.70,281.70,129.95,,2.2,22,7,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Nemet 2010 OW 45min resistance training,27.00,-227.70,281.70,KNOWN,,
F2-27,A1,STUDY,Nemet 2010 OW 45min swimming,AS_PUBLISHED,MD,-184.00,-503.04,135.04,162.78,,1.7,22,7,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Nemet 2010 OW 45min swimming,-184.00,-503.04,135.04,KNOWN,,
F2-28,A1,STUDY,Saunders 2013 NW walking,AS_PUBLISHED,MD,-42.00,-329.00,245.00,146.43,,1.9,20,10,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Saunders 2013 NW walking,-42.00,-329.00,245.00,KNOWN,,shared control 20 -> 10/10
F2-29,A1,STUDY,Saunders 2013 NW wallking + PA,AS_PUBLISHED,MD,-89.00,-388.40,210.40,152.76,,1.8,20,10,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Saunders 2013 NW wallking + PA,-89.00,-388.40,210.40,KNOWN,,sic 'wallking'
F2-30,A1,STUDY,Thivel 2012 OB 40%,AS_PUBLISHED,MD,-200.00,-669.47,269.47,239.53,,0.9,15,7,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Thivel 2012 OB 40%,-200.00,-669.47,269.47,KNOWN,,shared control 15 -> 7/7
F2-31,A1,STUDY,Thivel 2012 OB 75%,AS_PUBLISHED,MD,222.00,-292.12,736.12,262.31,,0.8,15,7,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Thivel 2012 OB 75%,222.00,-292.12,736.12,KNOWN,,
F2-32,A1,STUDY,Thivel 2013 OB 30min 75%,AS_PUBLISHED,MD,480.00,254.11,705.89,115.25,,2.5,10,10,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Thivel 2013 OB 30min 75%,480.00,254.11,705.89,KNOWN,,
F2-33,A1,STUDY,Thivel 2014 NW 30min,AS_PUBLISHED,MD,-12.00,-221.72,197.72,107,,2.6,9,9,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Thivel 2014 NW 30min,-12.00,-221.72,197.72,KNOWN,,
F2-34,A1,STUDY,Thivel 2015 OW 60min rugby,AS_PUBLISHED,MD,-240.00,-478.49,-1.51,121.68,,2.3,14,7,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Thivel 2015 OW 60min rugby,-240.00,-478.49,-1.51,KNOWN,,shared control 14 -> 7/7
F2-35,A1,STUDY,Thivel 2015 OW 75%,AS_PUBLISHED,MD,-395.00,-675.18,-114.82,142.95,,2.0,14,7,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Thivel 2015 OW 75%,-395.00,-675.18,-114.82,KNOWN,,
F2-36,A1,STUDY,Thivel 2017 OB 65%,AS_PUBLISHED,MD,-229.00,-369.57,-88.43,71.72,,3.5,14,14,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Thivel 2017 OB 65%,-229.00,-369.57,-88.43,KNOWN,,
F2-37,A1,STUDY,Thivel 2020 OB 30min,AS_PUBLISHED,MD,91.00,-179.93,361.93,138.23,,2.0,14,14,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Thivel 2020 OB 30min,91.00,-179.93,361.93,KNOWN,,only 1 of 2 Thivel-2020 arms pooled
