analysis_id,study_label_verbatim,appears_in,source_pages,certainty,note
,Ajibewa 2017 NW 25% stretching,FOREST_PLOT,22;23;24;26,KNOWN,"pass A omitted p23 in its label list, contradicted by its own Fig 4 extraction; p23 adopted from pass B"
,Ajibewa 2017 NW 50% push-ups,FOREST_PLOT,22;23;24;26,KNOWN,
,Ajibewa 2017 NW 75% jumping jacks,FOREST_PLOT,22;23;24;25;26,KNOWN,
,Ajibewa 2017 OB 25%,FOREST_PLOT,22;23;24;26,KNOWN,
,Ajibewa 2017 OB 50%,FOREST_PLOT,22;23;24;26,KNOWN,
,Ajibewa 2017 OB 75%,FOREST_PLOT,22;23;24;25;26,KNOWN,
,Bozinosvki 2009 NW 15min Treadmill,FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3); sic 'Bozinosvki' - forest plots misspell 'Bozinovski' (text/Table 1/Table 2/refs); verified at 10x zoom
,Bozinosvki 2009 NW 45min Treadmill,FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3); sic 'Bozinosvki'
,Fearnbach 2016 OB 45min cycling,FOREST_PLOT,22;23;24;26,KNOWN,pass B listed p25 in error - arm is low/moderate intensity and absent from both passes' Fig 6 extractions; pass A page list adopted
,Fearnbach Masterson 2016 NW 30min cycling,FOREST_PLOT,22;23;24;25;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Fearnbach Silvert 2017 NW 45min cycling,FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Fearnbach Silvert 2017 OB 45min cycling,FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,"Fillon 2020 OB 30min cycling, meal 30min post ex",FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,"Fillon 2020 OB 30min cycling, meal 90min post ex",FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Fillon Beaulieu 2020 OB 30min cycling,FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,"Fillon Mathieu 2020 OB 30min cycling, meal 1h p.ex",FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,"Fillon Mathieu 2020 OB 30min cycling, meal 3h p.ex",FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Masurier 2018 OB 20min,FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Masurier 2018 OB 40min,FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Miguet 2018 OB 15min HIIT,FOREST_PLOT,22;23;24;25;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Morris 2018 NW 22min HIIT,FOREST_PLOT,22;23;24;25;26,KNOWN,
,Nemet 2010 NW 45min aerobic,FOREST_PLOT,22;23;24;25;26,KNOWN,
,Nemet 2010 NW 45min resistance training,FOREST_PLOT,22;23;24;26,KNOWN,
,Nemet 2010 NW 45min swimming,FOREST_PLOT,22;23;24;26,KNOWN,
,Nemet 2010 OW 45min aerobic,FOREST_PLOT,22;23;24;25;26,KNOWN,
,Nemet 2010 OW 45min resistance training,FOREST_PLOT,22;23;24;26,KNOWN,
,Nemet 2010 OW 45min swimming,FOREST_PLOT,22;23;24;26,KNOWN,
,Saunders 2013 NW walking,FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3); labeled 2013 though reference [70] is Br J Nutr 2014 (HAH-CON-12)
,Saunders 2013 NW wallking + PA,FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3); sic 'wallking'
,Thivel 2012 OB 40%,FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Thivel 2012 OB 75%,FOREST_PLOT,22;23;24;25;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Thivel 2013 OB 30min 75%,FOREST_PLOT,22;23;24;25;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3); '30min' vs Table 1's 3 x 10 min bouts (HAH-CON-15)
,Thivel 2014 NW 30min,FOREST_PLOT,22;23;24;25;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Thivel 2015 OW 60min rugby,FOREST_PLOT,22;23;24;25;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
