analysis_id,outcome,timepoint,population,comparison,subgroup_of,effect_measure,model,n_studies_reported,pooled_effect,pooled_ci_lower,pooled_ci_upper,i2,tau2,q,p_value,source_page,source_figure,source_table,certainty,note
A01,myocardial infarction,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),rosiglitazone vs control (combined comparators),,Peto OR,FIXED,38,1.43,1.03,1.98,,,,0.03,1;3;12;13,,Table 4; Table 5,KNOWN,"n=38 from Methods PDF p2 ('38 reported at least one myocardial infarction'); no per-analysis trial count printed beside any estimate. Identical values printed in Abstract (p1), Results text (p3), Table 4 'Overall' (p12) and Table 5 'Combined comparator drugs' (p13) - counted as ONE analysis (reconciliation adjudication). Zero-event trials excluded per Methods p3. Heterogeneity P across comparator subgroups 0.53 (text p11); Cochran Q P>0.10 justified fixed-effects (Methods p3)"
A02,death from cardiovascular causes,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),rosiglitazone vs control (combined comparators),,Peto OR,FIXED,23,1.64,0.98,2.74,,,,0.06,1;3;12;13,,Table 4; Table 5,KNOWN,"n=23 from Methods PDF p2; not printed beside estimate. Identical values in Abstract, Results text, Table 4 'Overall', Table 5 'Combined comparator drugs' - ONE analysis (adjudication). Heterogeneity P across comparator subgroups 0.68 (text p11)"
A03,myocardial infarction,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),rosiglitazone vs control,A01,Peto OR,FIXED,,1.45,0.88,2.39,,,,0.15,12,,Table 4,KNOWN,"Table 4 'Small trials combined'. Trial count not printed; 36 derivable from Table 3 (40 small trials minus 4 with zero MI in both arms) - verified against denominators 10,285/6106"
A04,myocardial infarction,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),"rosiglitazone vs placebo (DREAM, single trial)",A01,Peto OR,NOT_APPLICABLE,1,1.65,0.74,3.68,,,,0.22,12,,Table 4,KNOWN,single-trial row shown separately in Table 4
A05,myocardial infarction,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),"rosiglitazone vs metformin or glyburide (ADOPT, single trial)",A01,Peto OR,NOT_APPLICABLE,1,1.33,0.80,2.21,,,,0.27,12,,Table 4,KNOWN,single-trial row shown separately in Table 4
A06,death from cardiovascular causes,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),rosiglitazone vs control,A02,Peto OR,FIXED,,2.40,1.17,4.91,,,,0.02,12,,Table 4,KNOWN,"Table 4 'Small trials combined'. Trial count not printed; 21 derivable from Table 3 (40 small trials minus 19 with zero CV deaths in both arms) - verified against denominators 6,845/3980"
A07,death from cardiovascular causes,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),"rosiglitazone vs placebo (DREAM, single trial)",A02,Peto OR,NOT_APPLICABLE,1,1.20,0.52,2.78,,,,0.67,12,,Table 4,KNOWN,single-trial row shown separately in Table 4
A08,death from cardiovascular causes,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),"rosiglitazone vs metformin or glyburide (ADOPT, single trial)",A02,Peto OR,NOT_APPLICABLE,1,0.80,0.17,3.86,,,,0.78,12,,Table 4,KNOWN,single-trial row shown separately in Table 4
A09,myocardial infarction,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),rosiglitazone vs metformin,A01,Peto OR,FIXED,,1.14,0.70,1.86,,,,0.59,13,,Table 5,KNOWN,comparator-drug subgroup; trial count not printed
A10,myocardial infarction,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),rosiglitazone vs sulfonylurea,A01,Peto OR,FIXED,,1.24,0.78,1.98,,,,0.36,13,,Table 5,KNOWN,comparator-drug subgroup; trial count not printed
A11,myocardial infarction,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),rosiglitazone vs insulin,A01,Peto OR,FIXED,,2.78,0.58,13.3,,,,0.20,13,,Table 5,KNOWN,upper CI printed '13.3' (not '13.30') - precision as published
A12,myocardial infarction,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),rosiglitazone vs placebo,A01,Peto OR,FIXED,,1.80,0.95,3.39,,,,0.07,13,,Table 5,KNOWN,comparator-drug subgroup; trial count not printed
A13,death from cardiovascular causes,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),rosiglitazone vs metformin,A02,Peto OR,FIXED,,1.13,0.34,3.71,,,,0.84,13,,Table 5,KNOWN,comparator-drug subgroup; trial count not printed
A14,death from cardiovascular causes,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),rosiglitazone vs sulfonylurea,A02,Peto OR,FIXED,,1.42,0.60,3.33,,,,0.43,13,,Table 5,KNOWN,comparator-drug subgroup; trial count not printed
A15,death from cardiovascular causes,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),rosiglitazone vs insulin,A02,Peto OR,FIXED,,5.37,0.51,56.52,,,,0.16,13,,Table 5,KNOWN,comparator-drug subgroup; trial count not printed
A16,death from cardiovascular causes,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),rosiglitazone vs placebo,A02,Peto OR,FIXED,,1.22,0.64,2.34,,,,0.55,13,,Table 5,KNOWN,comparator-drug subgroup; trial count not printed
A17,death from any cause,NOT_APPLICABLE,patients in randomized trials of rosiglitazone (type 2 diabetes and other indications),rosiglitazone vs control (combined comparators),,Peto OR,FIXED,,1.18,0.89,1.55,,,,0.24,11,,,KNOWN,"TEXT only (Results, PDF p11); analysis 'not prespecified'; effect measure not restated - Peto OR per Methods context; no table or figure"
