effect_id,analysis_id,row_kind,study_label,version,effect_measure,effect,ci_lower,ci_upper,se,variance,weight_pct,n_treatment,n_control,events_treatment,events_control,subgroup,timepoint,source_page,source_type,source_table,source_figure,row_label,effect_norm,ci_lower_norm,ci_upper_norm,certainty,supersedes,note
T1-01,,STUDY,49653/011,AS_CORRECTED,NOT_APPLICABLE,,,,,,,357,176,NOT_APPLICABLE,NOT_APPLICABLE,Trials included in original registration package,NOT_APPLICABLE,4,TABLE,Table 1,,49653/011,,,,KNOWN,,"Phase 3, 24 wk; Rosiglitazone vs Placebo; Table 1 prints enrollment only (no events, no OR)"
T1-02,,STUDY,49653/020,AS_CORRECTED,NOT_APPLICABLE,,,,,,,391,207,NOT_APPLICABLE,NOT_APPLICABLE,Trials included in original registration package,NOT_APPLICABLE,4,TABLE,Table 1,,49653/020,,,,KNOWN,,"Phase 3, 52 wk; Rosiglitazone vs Glyburide; Table 1 prints enrollment only (no events, no OR)"
T1-03,,STUDY,49653/024,AS_CORRECTED,NOT_APPLICABLE,,,,,,,774,185,NOT_APPLICABLE,NOT_APPLICABLE,Trials included in original registration package,NOT_APPLICABLE,4,TABLE,Table 1,,49653/024,,,,KNOWN,,"Phase 3, 26 wk; Rosiglitazone vs Placebo; Table 1 prints enrollment only (no events, no OR)"
T1-04,,STUDY,49653/093,AS_CORRECTED,NOT_APPLICABLE,,,,,,,213,109,NOT_APPLICABLE,NOT_APPLICABLE,Trials included in original registration package,NOT_APPLICABLE,4,TABLE,Table 1,,49653/093,,,,KNOWN,,"Phase 3, 26 wk; Rosiglitazone with or without metformin vs Metformin; Table 1 prints enrollment only (no events, no OR)"
T1-05,,STUDY,49653/094,AS_CORRECTED,NOT_APPLICABLE,,,,,,,232,116,NOT_APPLICABLE,NOT_APPLICABLE,Trials included in original registration package,NOT_APPLICABLE,4,TABLE,Table 1,,49653/094,,,,KNOWN,,"Phase 3, 26 wk; Rosiglitazone and metformin vs Metformin; Table 1 prints enrollment only (no events, no OR)"
T1-06,,STUDY,100684,AS_CORRECTED,NOT_APPLICABLE,,,,,,,43,47,NOT_APPLICABLE,NOT_APPLICABLE,"Additional phase 2, 3, and 4 efficacy trials",NOT_APPLICABLE,4,TABLE,Table 1,,100684,,,,KNOWN,,"Phase 4, 52 wk; Rosiglitazone and glyburide vs Glyburide; Table 1 prints enrollment only (no events, no OR)"
T1-07,,STUDY,49653/143,AS_CORRECTED,NOT_APPLICABLE,,,,,,,121,124,NOT_APPLICABLE,NOT_APPLICABLE,"Additional phase 2, 3, and 4 efficacy trials",NOT_APPLICABLE,4,TABLE,Table 1,,49653/143,,,,KNOWN,,"Phase 4, 24 wk; Rosiglitazone and glyburide vs Glyburide; Table 1 prints enrollment only (no events, no OR)"
T1-08,,STUDY,49653/211,AS_CORRECTED,NOT_APPLICABLE,,,,,,,110,114,NOT_APPLICABLE,NOT_APPLICABLE,"Additional phase 2, 3, and 4 efficacy trials",NOT_APPLICABLE,4,TABLE,Table 1,,49653/211,,,,KNOWN,,"Phase 4, 52 wk; Rosiglitazone and usual care vs Usual care (CHF population); Table 1 prints enrollment only (no events, no OR)"
T1-09,,STUDY,49653/284,AS_CORRECTED,NOT_APPLICABLE,,,,,,,382,384,NOT_APPLICABLE,NOT_APPLICABLE,"Additional phase 2, 3, and 4 efficacy trials",NOT_APPLICABLE,4,TABLE,Table 1,,49653/284,,,,KNOWN,,"Phase 4, 24 wk; Rosiglitazone and metformin vs Metformin; Table 1 prints enrollment only (no events, no OR)"
T1-10,,STUDY,712753/008,AS_CORRECTED,NOT_APPLICABLE,,,,,,,284,135,NOT_APPLICABLE,NOT_APPLICABLE,"Additional phase 2, 3, and 4 efficacy trials",NOT_APPLICABLE,4,TABLE,Table 1,,712753/008,,,,KNOWN,,"Phase 4, 48 wk; Rosiglitazone and metformin vs Metformin; ID printed WITHOUT SB- prefix (cf. SB-712753/xxx); Table 1 prints enrollment only (no events, no OR)"
