effect_id,analysis_id,row_kind,study_label,version,effect_measure,effect,ci_lower,ci_upper,se,variance,weight_pct,n_treatment,n_control,events_treatment,events_control,subgroup,timepoint,source_page,source_type,source_table,source_figure,row_label,effect_norm,ci_lower_norm,ci_upper_norm,certainty,supersedes,note
F2-01,A1,STUDY,Fagerström 2010,AS_PUBLISHED,RD (proportion),-0.0046,-0.0173,0.0081,,,5.12,214,218,0/214,1/218,,treatment emergent,10,FOREST_PLOT,,Fig 2,Fagerström 2010,-0.0046,-0.0173,0.0081,KNOWN,,zero events varenicline arm
F2-02,A1,STUDY,Rennard 2012,AS_PUBLISHED,RD (proportion),0.0000,-0.0087,0.0087,,,5.89,493,166,0/493,0/166,,treatment emergent,10,FOREST_PLOT,,Fig 2,Rennard 2012,0.0000,-0.0087,0.0087,KNOWN,,double-zero; retained in RD
F2-03,A1,STUDY,A3051072 2012,AS_PUBLISHED,RD (proportion),0.0000,-0.0352,0.0352,,,1.35,85,43,0/85,0/43,,treatment emergent,10,FOREST_PLOT,,Fig 2,A3051072 2012,0.0000,-0.0352,0.0352,KNOWN,,double-zero; unpublished trial
F2-04,A1,STUDY,Hong 2011,AS_PUBLISHED,RD (proportion),0.0000,-0.0902,0.0902,,,0.49,20,21,0/20,0/21,,treatment emergent,10,FOREST_PLOT,,Fig 2,Hong 2011,0.0000,-0.0902,0.0902,KNOWN,,double-zero
F2-05,A1,STUDY,Ebbert 2011,AS_PUBLISHED,RD (proportion),0.0000,-0.0499,0.0499,,,0.90,38,38,0/38,0/38,,treatment emergent,10,FOREST_PLOT,,Fig 2,Ebbert 2011,0.0000,-0.0499,0.0499,KNOWN,,double-zero
F2-06,A1,STUDY,Garza 2011,AS_PUBLISHED,RD (proportion),0.0000,-0.0348,0.0348,,,1.30,55,55,0/55,0/55,,treatment emergent,10,FOREST_PLOT,,Fig 2,Garza 2011,0.0000,-0.0348,0.0348,KNOWN,,double-zero
F2-07,A1,STUDY,Hughes 2011,AS_PUBLISHED,RD (proportion),0.0000,-0.0178,0.0178,,,2.58,107,111,0/107,0/111,,treatment emergent,10,FOREST_PLOT,,Fig 2,Hughes 2011,0.0000,-0.0178,0.0178,KNOWN,,double-zero
F2-08,A1,STUDY,Wang 2009,AS_PUBLISHED,RD (proportion),0.0000,-0.0117,0.0117,,,3.95,165,168,0/165,0/168,,treatment emergent,10,FOREST_PLOT,,Fig 2,Wang 2009,0.0000,-0.0117,0.0117,KNOWN,,double-zero
F2-09,A1,STUDY,Poling 2010,AS_PUBLISHED,RD (proportion),0.0000,-0.1210,0.1210,,,0.36,13,18,0/13,0/18,,treatment emergent,10,FOREST_PLOT,,Fig 2,Poling 2010,0.0000,-0.1210,0.1210,KNOWN,,double-zero; CI arrows truncated
F2-10,A1,STUDY,Steinberg 2011,AS_PUBLISHED,RD (proportion),-0.0006,-0.0699,0.0687,,,0.94,40,39,1/40,1/39,,treatment emergent,10,FOREST_PLOT,,Fig 2,Steinberg 2011,-0.0006,-0.0699,0.0687,KNOWN,,see PRO-CON-1 vs Table 2
F2-11,A1,STUDY,Jorenby 2006,AS_PUBLISHED,RD (proportion),0.0000,-0.0081,0.0081,,,8.13,344,341,1/344,1/341,,treatment emergent,10,FOREST_PLOT,,Fig 2,Jorenby 2006,0.0000,-0.0081,0.0081,KNOWN,,weight 8.13 vs 8.12 in Fig 3 (PRO-CON-3)
