analysis_id,study_label_verbatim,appears_in,source_pages,certainty,note
,Fagerstrom et al,TABLE,8;9,KNOWN,
,Fagerström 2010,FOREST_PLOT,10;11,KNOWN,diacritic: forest plots print 'Fagerström'; table text layer 'Fagerstrom'
,Rennard et al,TABLE,7;9,KNOWN,
,Rennard 2012,FOREST_PLOT,10;11,KNOWN,
,Protocol A3051072,TABLE,7;9,KNOWN,
,A3051072 2012,FOREST_PLOT,10;11,KNOWN,
,Hong et al,TABLE,8;9,KNOWN,
,Hong 2011,FOREST_PLOT,10;11,KNOWN,
,Ebbert et al,TABLE,7;9,KNOWN,
,Ebbert 2011,FOREST_PLOT,10;11,KNOWN,
,Garza et al,TABLE,7;9,KNOWN,
,Garza 2011,FOREST_PLOT,10;11,KNOWN,
,Hughes et al,TABLE,8;9,KNOWN,
,Hughes 2011,FOREST_PLOT,10;11,KNOWN,
,Wang et al,TABLE,7;9,KNOWN,
,Wang 2009,FOREST_PLOT,10;11,KNOWN,
,Poling et al,TABLE,8;9,KNOWN,
,Poling 2010,FOREST_PLOT,10;11,KNOWN,
,Steinberg et al,TABLE,7;9,KNOWN,
,Steinberg 2011,FOREST_PLOT,10;11,KNOWN,
,Jorenby et al,TABLE,7;9,KNOWN,
,Jorenby 2006,FOREST_PLOT,10;11,KNOWN,
,Gonzales et al,TABLE,7;9,KNOWN,
,Gonzales 2006,FOREST_PLOT,10;11,KNOWN,
,Rigotti et al,TABLE,7;9,KNOWN,
,Rigotti 2010,FOREST_PLOT,10;11,KNOWN,
,Oncken et al,TABLE,8;9,KNOWN,
,Oncken 2006,FOREST_PLOT,10;11,KNOWN,
,Nides et al,TABLE,8;9,KNOWN,
,Nides 2006,FOREST_PLOT,10;11,KNOWN,
,Nakamura et al,TABLE,8;9,KNOWN,
,Nakamura 2007,FOREST_PLOT,10;11,KNOWN,
,Bolliger et al,TABLE,7;9,KNOWN,
,Bolliger 2011,FOREST_PLOT,10;11,KNOWN,
,Tsai et al,TABLE,8;9,KNOWN,
,Tsai 2007,FOREST_PLOT,10;11,KNOWN,
,Niaura et al,TABLE,8;9,KNOWN,
,Niaura 2008,FOREST_PLOT,10;11,KNOWN,
,Tonstad et al,TABLE,7;9,KNOWN,
,Tonstad 2006,FOREST_PLOT,10;11,KNOWN,
,Williams et al,TABLE,7;9,KNOWN,
,Williams 2007,FOREST_PLOT,10;11,KNOWN,
,Tashkin et al,TABLE,7;9,KNOWN,
,Tashkin 2011,FOREST_PLOT,10;11,KNOWN,
