analysis_id,outcome,timepoint,population,comparison,subgroup_of,effect_measure,model,n_studies_reported,pooled_effect,pooled_ci_lower,pooled_ci_upper,i2,tau2,q,p_value,source_page,source_figure,source_table,certainty,note
A1,OS,NOT_APPLICABLE,cancer patients,high vs low SII,,HR,RANDOM,22,1.69,1.42,2.01,78.5%,,,<0.001,4,Figure 2,,KNOWN,
A2,TTR,NOT_APPLICABLE,cancer patients,high vs low SII,,HR,FIXED,4,1.87,1.42,2.47,0.0%,,,<0.001,6,Figure 5 TTR,,KNOWN,
A3,PFS,NOT_APPLICABLE,cancer patients,high vs low SII,,HR,RANDOM,5,1.61,1.11,2.35,89.8%,,,0.012,6,Figure 5 PFS,,KNOWN,
A4,CSS,NOT_APPLICABLE,cancer patients,high vs low SII,,HR,UNCLEAR,1,1.44,1.04,1.99,,,,0.027,6,Figure 5,,KNOWN,
A5,DFS,NOT_APPLICABLE,cancer patients,high vs low SII,,HR,UNCLEAR,1,2.70,1.73,4.22,,,,<0.001,6,Figure 5,,KNOWN,
A6,RFS,NOT_APPLICABLE,cancer patients,high vs low SII,,HR,UNCLEAR,1,1.66,1.07,2.59,,,,0.025,6,Figure 5,,KNOWN,
A7,OS,NOT_APPLICABLE,cancer patients,high vs low SII,A1,HR,UNCLEAR,17,1.26,1.12,1.40,81.4,,,<0.001,4,,Table 2,KNOWN,
A8,OS,NOT_APPLICABLE,cancer patients,high vs low SII,A1,HR,UNCLEAR,5,1.55,0.84,2.27,64.5,,,0.009,4,,Table 2,KNOWN,
A9,OS,NOT_APPLICABLE,cancer patients,high vs low SII,A1,HR,UNCLEAR,6,2.11,1.59,2.38,0,,,<0.001,4,,Table 2,KNOWN,HCC upper CI: Table 2 prints 2.38 but abstract/text print 2.80 (see contradictions)
A10,OS,NOT_APPLICABLE,cancer patients,high vs low SII,A1,HR,UNCLEAR,3,1.43,1.12,1.83,53.4,,,0.005,4,,Table 2,KNOWN,
A11,OS,NOT_APPLICABLE,cancer patients,high vs low SII,A1,HR,UNCLEAR,3,1.50,1.09,2.06,75.9,,,0.013,4,,Table 2,KNOWN,
A12,OS,NOT_APPLICABLE,cancer patients,high vs low SII,A1,HR,UNCLEAR,2,1.82,1.44,2.32,0,,,<0.001,4,,Table 2,KNOWN,
A13,OS,NOT_APPLICABLE,cancer patients,high vs low SII,A1,HR,UNCLEAR,3,1.77,1.30,2.41,53.1,,,<0.001,4,,Table 2,KNOWN,
A14,OS,NOT_APPLICABLE,cancer patients,high vs low SII,A1,HR,UNCLEAR,2,1.84,0.35,9.63,76.1,,,0.469,4,,Table 2,KNOWN,
A15,OS,NOT_APPLICABLE,cancer patients,high vs low SII,A1,HR,UNCLEAR,3,1.57,0.65,3.79,94,,,0.313,4,,Table 2,KNOWN,
A16,OS,NOT_APPLICABLE,cancer patients,high vs low SII,A1,HR,UNCLEAR,11,1.14,0.89,1.39,34.4,,,<0.001,4,,Table 2,KNOWN,
A17,OS,NOT_APPLICABLE,cancer patients,high vs low SII,A1,HR,UNCLEAR,11,1.31,1.16,1.45,87.8,,,<0.001,4,,Table 2,KNOWN,
A18,OS,NOT_APPLICABLE,cancer patients,high vs low SII,A1,HR,UNCLEAR,11,1.21,1.00,1.43,83.9,,,<0.001,4,,Table 2,KNOWN,
A19,OS,NOT_APPLICABLE,cancer patients,high vs low SII,A1,HR,UNCLEAR,11,1.32,1.14,1.51,61.7,,,<0.001,4,,Table 2,KNOWN,
