effect_id,analysis_id,row_kind,study_label,version,effect_measure,effect,ci_lower,ci_upper,se,variance,weight_pct,n_treatment,n_control,events_treatment,events_control,subgroup,timepoint,source_page,source_type,source_table,source_figure,row_label,effect_norm,ci_lower_norm,ci_upper_norm,certainty,supersedes,note
E01,A1,STUDY,Hong (2015),AS_PUBLISHED,HR,1.38,1.02,1.85,,,5.67,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Hong (2015),1.38,1.02,1.85,KNOWN,,
E02,A1,STUDY,Loll (2016),AS_PUBLISHED,HR,1.84,1.35,2.50,,,5.60,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Loll (2016),1.84,1.35,2.50,KNOWN,,values KNOWN; which of Loll[15]/Loll[16] AMBIGUOUS
E03,A1,STUDY,Passardi (2016),AS_PUBLISHED,HR,0.84,0.53,1.31,,,4.66,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Passardi (2016),0.84,0.53,1.31,KNOWN,,
E04,A1,STUDY,Liu (2015),AS_PUBLISHED,HR,1.16,0.91,1.48,,,5.99,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Liu (2015),1.16,0.91,1.48,KNOWN,,
E05,A1,STUDY,wang (2017),AS_PUBLISHED,HR,1.55,1.21,1.99,,,5.96,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,wang (2017),1.55,1.21,1.99,KNOWN,,lowercase wang as printed
E06,A1,STUDY,Tong (2017),AS_PUBLISHED,HR,2.11,1.48,2.74,,,5.60,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Tong (2017),2.11,1.48,2.74,KNOWN,,
E07,A1,STUDY,Jin (2017),AS_PUBLISHED,HR,5.20,1.06,25.49,,,1.02,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Jin (2017),5.20,1.06,25.49,KNOWN,,
E08,A1,STUDY,Yu (2017),AS_PUBLISHED,HR,2.07,1.20,3.56,,,4.10,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Yu (2017),2.07,1.20,3.56,KNOWN,,
E09,A1,STUDY,Conroy (2017),AS_PUBLISHED,HR,1.63,1.15,4.19,,,3.51,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Conroy (2017),1.63,1.15,4.19,KNOWN,,CI grossly asymmetric around estimate as printed (verified 600dpi)
E10,A1,STUDY,Huang (2016),AS_PUBLISHED,HR,1.80,1.17,2.76,,,4.82,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Huang (2016),1.80,1.17,2.76,KNOWN,,
E11,A1,STUDY,Ha (2016),AS_PUBLISHED,HR,0.93,0.59,1.45,,,4.68,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Ha (2016),0.93,0.59,1.45,KNOWN,,
E12,A1,STUDY,Wang (2017),AS_PUBLISHED,HR,2.58,1.63,4.09,,,4.60,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Wang (2017),2.58,1.63,4.09,KNOWN,,capital Wang as printed
E13,A1,STUDY,Loll (2016),AS_PUBLISHED,HR,1.80,1.23,2.62,,,5.14,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Loll (2016),1.80,1.23,2.62,KNOWN,,second Loll row; attribution AMBIGUOUS
E14,A1,STUDY,Yang (2017),AS_PUBLISHED,HR,1.39,0.84,2.29,,,4.36,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Yang (2017),1.39,0.84,2.29,KNOWN,,printed with extra space 'Yang  (2017)'
E15,A1,STUDY,Gardini (2016),AS_PUBLISHED,HR,2.99,1.34,6.68,,,2.79,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Gardini (2016),2.99,1.34,6.68,KNOWN,,
